ano_eleicao;sigla_uf;nome_municipio;descricao_cargo;num_turno;numero_zona;sigla_partido;nome_candidato;nome_urna_candidato;numero_cand;desc_sit_cand_superior;desc_sit_candidato;desc_sit_cand_tot;total_votos
2016;AC;ACRELÂNDIA;PREFEITO;1;8;PSB;EDERALDO CAETANO DE SOUSA;CAETANO;40;APTO;DEFERIDO;ELEITO;3852
2016;AC;ACRELÂNDIA;PREFEITO;1;8;PP;DJALMA PESSOA DE OLIVEIRA;DJALMA;11;APTO;DEFERIDO;NÃO ELEITO;1545
2016;AC;ACRELÂNDIA;PREFEITO;1;8;PDT;AGRECINO DE SOUSA;GRESSO;12;APTO;DEFERIDO;NÃO ELEITO;886
2016;AC;ACRELÂNDIA;PREFEITO;1;8;PSDB;ARISTON DE SOUZA JARDIM;ARISTON;45;APTO;DEFERIDO;NÃO ELEITO;627
2016;AC;ACRELÂNDIA;PREFEITO;1;8;PRB;FRANCISCA SILVA DE MOURA LIMA;FRANCISCA BASILIO;10;APTO;DEFERIDO;NÃO ELEITO;259
2016;AC;ASSIS BRASIL;PREFEITO;1;6;PSDB;ANTONIO BARBOSA DE SOUSA;ZUM;45;APTO;DEFERIDO;ELEITO;2324
2016;AC;ASSIS BRASIL;PREFEITO;1;6;PC do B;JESUS SEBASTIAN LOPEZ CARDOSO;PILIQUE;65;APTO;DEFERIDO;NÃO ELEITO;1342
2016;AC;ASSIS BRASIL;PREFEITO;1;6;DEM;SÉRGIO BATISTA DA SILVA;SERJÃO;25;APTO;DEFERIDO;NÃO ELEITO;753
2016;AC;BRASILÉIA;PREFEITO;1;6;PT;FERNANDA DE SOUZA HASSEM CESAR;FERNANDA HASSEM;13;APTO;DEFERIDO;ELEITO;6819
2016;AC;BRASILÉIA;PREFEITO;1;6;PSDB;MANOEL PRETTE;MANOEL PRETE;45;APTO;DEFERIDO;NÃO ELEITO;6013
2016;AC;BUJARI;PREFEITO;1;9;PC do B;ROMUALDO DE SOUZA ARAUJO;ROMUALDO;65;APTO;DEFERIDO;ELEITO;1853
2016;AC;BUJARI;PREFEITO;1;9;PP;MARIA ZILMAR DA ROCHA PAIVA;ZILMAR;11;APTO;DEFERIDO;NÃO ELEITO;1468
2016;AC;BUJARI;PREFEITO;1;9;PT;CLOVIS ALVES DE MELO E SILVA;CLOVIS MELO;13;APTO;DEFERIDO;NÃO ELEITO;1145
2016;AC;BUJARI;PREFEITO;1;9;PMDB;FRANCISCO CHAGAS DE SOUZA BESSA;FRANCISCO BESSA;15;APTO;DEFERIDO;NÃO ELEITO;1038
2016;AC;BUJARI;PREFEITO;1;9;PSB;JOSÉ VIEIRA DE LIMA NETO;NETO PADEIRO;40;APTO;DEFERIDO;NÃO ELEITO;700
2016;AC;CAPIXABA;PREFEITO;1;8;PP;JOSÉ AUGUSTO GOMES DA CUNHA;ZÉ AUGUSTO;11;APTO;DEFERIDO;ELEITO;2198
2016;AC;CAPIXABA;PREFEITO;1;8;DEM;MANOEL MAIA BESERRA;MANOEL MAIA;25;APTO;DEFERIDO;NÃO ELEITO;1898
2016;AC;CAPIXABA;PREFEITO;1;8;PR;OTAVIO GUIMARAES VAREDA;VAREDA;22;APTO;DEFERIDO COM RECURSO;NÃO ELEITO;880
2016;AC;CAPIXABA;PREFEITO;1;8;PT;DAMIÃO DE SOUZA QUEIROZ;DAMIÃO;13;APTO;DEFERIDO;NÃO ELEITO;678
2016;AC;CAPIXABA;PREFEITO;1;8;PSB;LIDIA FRANKLIM DA SILVA;LIDIA;40;APTO;DEFERIDO;NÃO ELEITO;501
2016;AC;CRUZEIRO DO SUL;PREFEITO;1;4;PMDB;ILDERLEI SOUZA RODRIGUES CORDEIRO;ILDERLEI CORDEIRO;15;APTO;DEFERIDO;ELEITO;18119
2016;AC;CRUZEIRO DO SUL;PREFEITO;1;4;PSB;CARLA IVANE DE BRITTO;DELEGADA CARLA;40;APTO;DEFERIDO;NÃO ELEITO;11466
2016;AC;CRUZEIRO DO SUL;PREFEITO;1;4;PSDB;HENRIQUE AFONSO SOARES LIMA;HENRIQUE AFONSO;45;APTO;DEFERIDO;NÃO ELEITO;9292
2016;AC;EPITACIOLÂNDIA;PREFEITO;1;6;PSB;JOÃO SEBASTIÃO FLORES DA SILVA;TIÃO FLORES;40;APTO;DEFERIDO;ELEITO;4068
2016;AC;EPITACIOLÂNDIA;PREFEITO;1;6;PT;MARCOS FERNANDO SILVA;MARCOS FERNANDO;13;APTO;DEFERIDO;NÃO ELEITO;3026
2016;AC;EPITACIOLÂNDIA;PREFEITO;1;6;PSD;ROSIMARI FERREIRA DA SILVA;PROFESSORA ROSIMARI;55;APTO;DEFERIDO;NÃO ELEITO;1549
2016;AC;FEIJÓ;PREFEITO;1;7;PP;KIEFER ROBERTO CAVALCANTE LIMA;KIEFER;11;APTO;DEFERIDO;ELEITO;6558
2016;AC;FEIJÓ;PREFEITO;1;7;PT;HAMMERLY DA SILVA ALBUQUERQUE;MÊRLA;13;APTO;DEFERIDO;NÃO ELEITO;4532
2016;AC;FEIJÓ;PREFEITO;1;7;PMDB;PEDRO RODRIGUES CAVALCANTE NETO;PELE CAMPOS;15;APTO;DEFERIDO;NÃO ELEITO;2875
2016;AC;JORDÃO;PREFEITO;1;5;PC do B;ELSON DE LIMA FARIAS;ELSON FARIAS;65;APTO;DEFERIDO;ELEITO;2012
2016;AC;JORDÃO;PREFEITO;1;5;PMDB;ESPERIDIAO MENEZES JUNIOR;ESPERIDIAO MENEZES JÚNIOR;15;APTO;DEFERIDO;NÃO ELEITO;881
2016;AC;JORDÃO;PREFEITO;1;5;PSDB;FRANCISCO TURIANO DE FARIAS FILHO;TURIANO FILHO;45;APTO;DEFERIDO;NÃO ELEITO;753
2016;AC;MÂNCIO LIMA;PREFEITO;1;4;PT;ISAAC DE SOUZA LIMA;ISAAC LIMA;13;APTO;DEFERIDO;ELEITO;5390
2016;AC;MÂNCIO LIMA;PREFEITO;1;4;PP;WILSILENE GADELHA SIQUEIRA;SILENE SIQUEIRA;11;APTO;DEFERIDO;NÃO ELEITO;4024
2016;AC;MÂNCIO LIMA;PREFEITO;1;4;PEN;JOÃO FRANCISCO FERREIRA;JOÃO DE DEUS;51;APTO;DEFERIDO;NÃO ELEITO;152
2016;AC;MANOEL URBANO;PREFEITO;1;3;PMDB;JOSÉ ALTANÍZIO TAUMATURGO SÁ;TANIZO SÁ;15;APTO;DEFERIDO;ELEITO;2167
2016;AC;MANOEL URBANO;PREFEITO;1;3;PT;IZAUTE BARROSO DE SOUZA;IZAUTE BARROSO;13;APTO;DEFERIDO;NÃO ELEITO;1707
2016;AC;MANOEL URBANO;PREFEITO;1;3;PSD;ALDEMAR FERREIRA JUNIOR;PASTOR ALDEMAR;55;APTO;DEFERIDO;NÃO ELEITO;978
2016;AC;MANOEL URBANO;PREFEITO;1;3;PSDC;ANTONIO JOCICLECIO DE SOUZA SILVA;KECIO ALMEIDA;27;APTO;DEFERIDO;NÃO ELEITO;100
2016;AC;MARECHAL THAUMATURGO;PREFEITO;1;4;PMDB;ISAAC DA SILVA PIYÃKO;ISAAC PIYÃKO;15;APTO;DEFERIDO;ELEITO;4094
2016;AC;MARECHAL THAUMATURGO;PREFEITO;1;4;PT;ALDEMIR DA SILVA LOPES;ALDEMIR LOPES;13;APTO;DEFERIDO;NÃO ELEITO;3150
2016;AC;PLÁCIDO DE CASTRO;PREFEITO;1;8;PSDB;GEDEON SOUSA BARROS;GEDEON;45;APTO;DEFERIDO;ELEITO;4864
2016;AC;PLÁCIDO DE CASTRO;PREFEITO;1;8;PC do B;CAMILO DA SILVA;PROFESSOR CAMILO DA SILVA;65;APTO;DEFERIDO;NÃO ELEITO;2953
2016;AC;PLÁCIDO DE CASTRO;PREFEITO;1;8;PR;RONEY DE OLIVEIRA FIRMINO;RONEY FIRMINO;22;APTO;DEFERIDO;NÃO ELEITO;2247
2016;AC;PLÁCIDO DE CASTRO;PREFEITO;1;8;PMN;MARIA SOCORRO SOARES DE OLIVEIRA;SOCORRO FORMIGA;33;APTO;DEFERIDO;NÃO ELEITO;116
2016;AC;PORTO ACRE;PREFEITO;1;10;PROS;BENEDITO CAVALCANTE DAMASCENO;BENÉ DAMASCENO;90;APTO;DEFERIDO;ELEITO;4442
2016;AC;PORTO ACRE;PREFEITO;1;10;PP;DANIEL NOGUEIRA DA SILVA;DANIEL NOGUEIRA;11;APTO;DEFERIDO;NÃO ELEITO;3227
2016;AC;PORTO ACRE;PREFEITO;1;10;PT;JOSE MARIA RODRIGUES;ZÉ MARIA;13;APTO;DEFERIDO;NÃO ELEITO;1154
2016;AC;PORTO ACRE;PREFEITO;1;10;PMDB;ABÍLIO RODRIGUES BARBOSA NETO;ABÍLIO RODRIGUES;15;APTO;DEFERIDO;NÃO ELEITO;970
2016;AC;PORTO WALTER;PREFEITO;1;4;PMDB;JOSÉ ESTEPHAN BARBARY FILHO;ZEZINHO BARBARY;15;APTO;DEFERIDO;ELEITO;3091
2016;AC;PORTO WALTER;PREFEITO;1;4;PT;MARCOS TAVARES DE ALMEIDA;MARCOS TAVARES;13;APTO;DEFERIDO;NÃO ELEITO;1502
2016;AC;RIO BRANCO;PREFEITO;1;9;PT;MARCUS ALEXANDRE MÉDICI AGUIAR VIANA DA SILVA;MARCUS ALEXANDRE;13;APTO;DEFERIDO;ELEITO;39664
2016;AC;RIO BRANCO;PREFEITO;1;10;PT;MARCUS ALEXANDRE MÉDICI AGUIAR VIANA DA SILVA;MARCUS ALEXANDRE;13;APTO;DEFERIDO;ELEITO;33062
2016;AC;RIO BRANCO;PREFEITO;1;1;PT;MARCUS ALEXANDRE MÉDICI AGUIAR VIANA DA SILVA;MARCUS ALEXANDRE;13;APTO;DEFERIDO;ELEITO;31585
2016;AC;RIO BRANCO;PREFEITO;1;9;PMDB;ELIANE PEREIRA SINHASIQUE;ELIANE SINHASIQUE;15;APTO;DEFERIDO;NÃO ELEITO;21327
2016;AC;RIO BRANCO;PREFEITO;1;10;PMDB;ELIANE PEREIRA SINHASIQUE;ELIANE SINHASIQUE;15;APTO;DEFERIDO;NÃO ELEITO;20185
2016;AC;RIO BRANCO;PREFEITO;1;1;PMDB;ELIANE PEREIRA SINHASIQUE;ELIANE SINHASIQUE;15;APTO;DEFERIDO;NÃO ELEITO;19359
